pair_a,pair_b,sector,tick_minutes,model,pair_selection,position_policy,cointegration_policy,exec_delay_ticks,param_grid_size,sharpe,committed_return_annual,invested_return_annual,num_trades,hit_rate,max_drawdown,avg_holding_minutes
RELIANCE,BPCL,Energy,5,Classical,Random,EOD_Flat,SkipCheck,0,16,0.68,0.1378,0.0968,140,0.517,0.108,18.6
RELIANCE,BPCL,Energy,5,Classical,Random,EOD_Flat,SkipCheck,1,16,0.5,0.081,0.0646,208,0.509,0.128,19.6
RELIANCE,BPCL,Energy,5,Preferred,Ranked,Carry,RollingCheck,0,16,1.26,0.2892,0.2272,181,0.528,0.1,20.0
RELIANCE,BPCL,Energy,5,Preferred,Ranked,Carry,RollingCheck,1,16,1.06,0.1742,0.1345,179,0.492,0.154,23.8
RELIANCE,BPCL,Energy,5,Preferred,Ranked,Carry,SkipCheck,0,16,1.58,0.2927,0.2372,201,0.62,0.094,20.4
RELIANCE,BPCL,Energy,5,Preferred,Ranked,Carry,SkipCheck,1,16,1.0,0.2277,0.1721,181,0.525,0.073,20.3
RELIANCE,BPCL,Energy,5,Preferred,Ranked,EOD_Flat,RollingCheck,0,16,1.29,0.2842,0.2579,189,0.542,0.108,15.6
RELIANCE,BPCL,Energy,5,Preferred,Ranked,EOD_Flat,RollingCheck,1,16,0.94,0.1867,0.1676,183,0.615,0.072,20.9
RELIANCE,BPCL,Energy,5,Preferred,Ranked,EOD_Flat,SkipCheck,0,16,1.48,0.3235,0.2593,199,0.507,0.139,26.1
RELIANCE,BPCL,Energy,5,Preferred,Ranked,EOD_Flat,SkipCheck,1,16,1.04,0.2134,0.15,184,0.514,0.176,22.4
RELIANCE,BPCL,Energy,5,Preferred,Random,Carry,RollingCheck,0,16,1.03,0.2597,0.2373,168,0.493,0.143,26.3
RELIANCE,BPCL,Energy,5,Preferred,Random,Carry,RollingCheck,1,16,0.85,0.1802,0.1569,176,0.512,0.093,15.9
RELIANCE,BPCL,Energy,5,Preferred,Random,Carry,SkipCheck,0,16,1.19,0.2802,0.2712,198,0.577,0.202,20.5
RELIANCE,BPCL,Energy,5,Preferred,Random,Carry,SkipCheck,1,16,0.7,0.169,0.1549,163,0.574,0.113,23.6
RELIANCE,BPCL,Energy,5,Preferred,Random,EOD_Flat,RollingCheck,0,16,1.15,0.2178,0.2154,173,0.589,0.151,18.3
RELIANCE,BPCL,Energy,5,Preferred,Random,EOD_Flat,RollingCheck,1,16,0.68,0.1246,0.108,182,0.569,0.093,20.8
RELIANCE,BPCL,Energy,5,Preferred,Random,EOD_Flat,SkipCheck,0,16,1.16,0.2157,0.2078,193,0.603,0.091,26.9
RELIANCE,BPCL,Energy,5,Preferred,Random,EOD_Flat,SkipCheck,1,16,0.9,0.1399,0.1319,187,0.743,0.137,25.7
RELIANCE,BPCL,Energy,15,Classical,Ranked,Carry,RollingCheck,0,16,1.05,0.1695,0.1639,42,0.425,0.125,15.7
RELIANCE,BPCL,Energy,15,Classical,Ranked,Carry,RollingCheck,1,16,0.66,0.074,0.0638,70,0.419,0.106,25.4
RELIANCE,BPCL,Energy,15,Classical,Ranked,Carry,SkipCheck,0,16,1.01,0.1477,0.1375,68,0.436,0.192,29.2
RELIANCE,BPCL,Energy,15,Classical,Ranked,Carry,SkipCheck,1,16,0.84,0.1329,0.1319,29,0.509,0.1,24.3
RELIANCE,BPCL,Energy,15,Classical,Ranked,EOD_Flat,RollingCheck,0,16,0.82,0.1266,0.0896,48,0.583,0.11,18.4
RELIANCE,BPCL,Energy,15,Classical,Ranked,EOD_Flat,RollingCheck,1,16,0.66,0.0296,0.0271,41,0.546,0.184,25.2
RELIANCE,BPCL,Energy,15,Classical,Ranked,EOD_Flat,SkipCheck,0,16,0.8,0.1455,0.1174,56,0.594,0.119,15.3
RELIANCE,BPCL,Energy,15,Classical,Ranked,EOD_Flat,SkipCheck,1,16,0.54,0.0928,0.0771,84,0.428,0.107,20.7
RELIANCE,BPCL,Energy,15,Classical,Random,Carry,RollingCheck,0,16,0.79,0.0569,0.0484,66,0.545,0.114,20.3
RELIANCE,BPCL,Energy,15,Classical,Random,Carry,RollingCheck,1,16,0.52,0.0638,0.0557,83,0.438,0.184,10.2
RELIANCE,BPCL,Energy,15,Classical,Random,Carry,SkipCheck,0,16,0.68,0.1476,0.1459,52,0.51,0.147,17.7
RELIANCE,BPCL,Energy,15,Classical,Random,Carry,SkipCheck,1,16,0.43,0.0673,0.0612,73,0.515,0.144,23.1
RELIANCE,BPCL,Energy,15,Classical,Random,EOD_Flat,RollingCheck,0,16,0.52,0.0632,0.0585,33,0.439,0.1,25.8
RELIANCE,BPCL,Energy,15,Classical,Random,EOD_Flat,RollingCheck,1,16,0.58,0.0348,0.0323,79,0.501,0.14,18.4
RELIANCE,BPCL,Energy,15,Classical,Random,EOD_Flat,SkipCheck,0,16,0.68,0.1061,0.1045,88,0.553,0.066,17.8
RELIANCE,BPCL,Energy,15,Classical,Random,EOD_Flat,SkipCheck,1,16,0.58,0.0301,0.0279,69,0.531,0.12,15.5
RELIANCE,BPCL,Energy,15,Preferred,Ranked,Carry,RollingCheck,0,16,1.46,0.2497,0.2079,55,0.59,0.138,26.8
RELIANCE,BPCL,Energy,15,Preferred,Ranked,Carry,RollingCheck,1,16,0.97,0.1681,0.1591,52,0.562,0.077,13.0
RELIANCE,BPCL,Energy,15,Preferred,Ranked,Carry,SkipCheck,0,16,1.43,0.2936,0.274,29,0.629,0.111,20.0
RELIANCE,BPCL,Energy,15,Preferred,Ranked,Carry,SkipCheck,1,16,0.98,0.1786,0.1314,64,0.509,0.136,27.7
RELIANCE,BPCL,Energy,15,Preferred,Ranked,EOD_Flat,RollingCheck,0,16,1.39,0.2621,0.2059,54,0.573,0.122,24.9
RELIANCE,BPCL,Energy,15,Preferred,Ranked,EOD_Flat,RollingCheck,1,16,1.03,0.1516,0.1299,81,0.598,0.185,16.2
RELIANCE,BPCL,Energy,15,Preferred,Ranked,EOD_Flat,SkipCheck,0,16,1.54,0.2855,0.2037,58,0.599,0.076,23.9
RELIANCE,BPCL,Energy,15,Preferred,Ranked,EOD_Flat,SkipCheck,1,16,1.0,0.1273,0.1026,48,0.558,0.13,29.4
RELIANCE,BPCL,Energy,15,Preferred,Random,Carry,RollingCheck,0,16,1.25,0.2027,0.1835,71,0.624,0.141,19.3
RELIANCE,BPCL,Energy,15,Preferred,Random,Carry,RollingCheck,1,16,0.8,0.1235,0.1165,34,0.618,0.117,26.2
RELIANCE,BPCL,Energy,15,Preferred,Random,Carry,SkipCheck,0,16,1.04,0.232,0.1663,63,0.565,0.165,21.6
RELIANCE,BPCL,Energy,15,Preferred,Random,Carry,SkipCheck,1,16,0.81,0.102,0.0754,61,0.576,0.141,14.4
RELIANCE,BPCL,Energy,15,Preferred,Random,EOD_Flat,RollingCheck,0,16,0.95,0.2383,0.175,63,0.652,0.123,27.8
RELIANCE,BPCL,Energy,15,Preferred,Random,EOD_Flat,RollingCheck,1,16,0.79,0.1546,0.1342,56,0.599,0.139,26.8
RELIANCE,BPCL,Energy,15,Preferred,Random,EOD_Flat,SkipCheck,0,16,1.05,0.2506,0.1857,34,0.622,0.147,19.3
RELIANCE,BPCL,Energy,15,Preferred,Random,EOD_Flat,SkipCheck,1,16,0.83,0.0729,0.0681,84,0.481,0.069,19.7
RELIANCE,BPCL,Energy,30,Classical,Ranked,Carry,RollingCheck,0,16,0.99,0.149,0.1263,76,0.428,0.116,19.6
RELIANCE,BPCL,Energy,30,Classical,Ranked,Carry,RollingCheck,1,16,0.55,0.1046,0.0841,59,0.548,0.09,22.5
RELIANCE,BPCL,Energy,30,Classical,Ranked,Carry,SkipCheck,0,16,0.95,0.1562,0.1176,38,0.49,0.122,8.6
RELIANCE,BPCL,Energy,30,Classical,Ranked,Carry,SkipCheck,1,16,0.69,0.1093,0.1027,49,0.511,0.117,18.9
RELIANCE,BPCL,Energy,30,Classical,Ranked,EOD_Flat,RollingCheck,0,16,0.96,0.1527,0.1154,51,0.439,0.191,18.4
RELIANCE,BPCL,Energy,30,Classical,Ranked,EOD_Flat,RollingCheck,1,16,0.57,0.0122,0.0113,68,0.516,0.212,25.6
RELIANCE,BPCL,Energy,30,Classical,Ranked,EOD_Flat,SkipCheck,0,16,0.94,0.1313,0.1129,47,0.455,0.114,19.8
RELIANCE,BPCL,Energy,30,Classical,Ranked,EOD_Flat,SkipCheck,1,16,0.56,0.0764,0.061,85,0.544,0.12,27.4
RELIANCE,BPCL,Energy,30,Classical,Random,Carry,RollingCheck,0,16,0.66,0.0742,0.065,53,0.579,0.108,16.7
RELIANCE,BPCL,Energy,30,Classical,Random,Carry,RollingCheck,1,16,0.59,0.0207,0.018,39,0.528,0.1,17.6
RELIANCE,BPCL,Energy,30,Classical,Random,Carry,SkipCheck,0,16,0.64,0.1041,0.0783,22,0.534,0.132,19.6
RELIANCE,BPCL,Energy,30,Classical,Random,Carry,SkipCheck,1,16,0.51,0.0862,0.067,67,0.451,0.123,23.8
RELIANCE,BPCL,Energy,30,Classical,Random,EOD_Flat,RollingCheck,0,16,0.43,0.0963,0.0896,51,0.45,0.128,6.3
RELIANCE,BPCL,Energy,30,Classical,Random,EOD_Flat,RollingCheck,1,16,0.37,0.0388,0.0343,69,0.417,0.118,13.9
RELIANCE,BPCL,Energy,30,Classical,Random,EOD_Flat,SkipCheck,0,16,0.58,0.1114,0.0892,50,0.538,0.153,23.9
RELIANCE,BPCL,Energy,30,Classical,Random,EOD_Flat,SkipCheck,1,16,0.38,0.139,0.1145,68,0.49,0.131,17.0
RELIANCE,BPCL,Energy,30,Preferred,Ranked,Carry,RollingCheck,0,16,1.46,0.2653,0.2315,58,0.556,0.102,22.9
RELIANCE,BPCL,Energy,30,Preferred,Ranked,Carry,RollingCheck,1,16,0.98,0.1524,0.1439,64,0.654,0.146,18.4
RELIANCE,BPCL,Energy,30,Preferred,Ranked,Carry,SkipCheck,0,16,1.62,0.2878,0.2393,49,0.438,0.152,15.8
RELIANCE,BPCL,Energy,30,Preferred,Ranked,Carry,SkipCheck,1,16,0.89,0.1805,0.175,72,0.439,0.127,23.9
RELIANCE,BPCL,Energy,30,Preferred,Ranked,EOD_Flat,RollingCheck,0,16,1.25,0.2843,0.2109,67,0.612,0.149,20.4
RELIANCE,BPCL,Energy,30,Preferred,Ranked,EOD_Flat,RollingCheck,1,16,0.93,0.1621,0.1286,72,0.507,0.122,17.6
RELIANCE,BPCL,Energy,30,Preferred,Ranked,EOD_Flat,SkipCheck,0,16,1.5,0.29,0.2328,79,0.528,0.107,17.2
RELIANCE,BPCL,Energy,30,Preferred,Ranked,EOD_Flat,SkipCheck,1,16,1.11,0.1972,0.176,66,0.644,0.097,13.8
RELIANCE,BPCL,Energy,30,Preferred,Random,Carry,RollingCheck,0,16,0.97,0.2649,0.2221,62,0.682,0.114,20.2
RELIANCE,BPCL,Energy,30,Preferred,Random,Carry,RollingCheck,1,16,0.98,0.1497,0.1462,48,0.574,0.176,26.7
RELIANCE,BPCL,Energy,30,Preferred,Random,Carry,SkipCheck,0,16,1.36,0.2347,0.23,58,0.589,0.196,22.6
RELIANCE,BPCL,Energy,30,Preferred,Random,Carry,SkipCheck,1,16,0.78,0.146,0.1169,44,0.467,0.145,20.4
RELIANCE,BPCL,Energy,30,Preferred,Random,EOD_Flat,RollingCheck,0,16,0.97,0.1611,0.1485,37,0.537,0.086,19.3
RELIANCE,BPCL,Energy,30,Preferred,Random,EOD_Flat,RollingCheck,1,16,0.77,0.0804,0.0664,56,0.585,0.175,25.6
RELIANCE,BPCL,Energy,30,Preferred,Random,EOD_Flat,SkipCheck,0,16,1.12,0.1968,0.1428,60,0.558,0.1,20.7
RELIANCE,BPCL,Energy,30,Preferred,Random,EOD_Flat,SkipCheck,1,16,0.73,0.1582,0.1534,51,0.523,0.119,17.3
RELIANCE,BPCL,Energy,60,Classical,Ranked,Carry,RollingCheck,0,16,0.88,0.1432,0.1336,80,0.367,0.058,38.8
RELIANCE,BPCL,Energy,60,Classical,Ranked,Carry,RollingCheck,1,16,0.55,0.0861,0.065,38,0.461,0.087,53.8
RELIANCE,BPCL,Energy,60,Classical,Ranked,Carry,SkipCheck,0,16,1.09,0.2081,0.1474,49,0.464,0.123,44.3
RELIANCE,BPCL,Energy,60,Classical,Ranked,Carry,SkipCheck,1,16,0.75,0.0664,0.0512,56,0.481,0.141,47.2
RELIANCE,BPCL,Energy,60,Classical,Ranked,EOD_Flat,RollingCheck,0,16,0.86,0.1548,0.1394,50,0.453,0.07,53.8
RELIANCE,BPCL,Energy,60,Classical,Ranked,EOD_Flat,RollingCheck,1,16,0.51,0.0435,0.0354,36,0.53,0.082,53.8
RELIANCE,BPCL,Energy,60,Classical,Ranked,EOD_Flat,SkipCheck,0,16,0.74,0.2009,0.1584,74,0.498,0.11,51.7
RELIANCE,BPCL,Energy,60,Classical,Ranked,EOD_Flat,SkipCheck,1,16,0.88,0.1062,0.0825,62,0.491,0.121,46.7
RELIANCE,BPCL,Energy,60,Classical,Random,Carry,RollingCheck,0,16,0.6,0.0667,0.047,35,0.528,0.18,48.6
RELIANCE,BPCL,Energy,60,Classical,Random,Carry,RollingCheck,1,16,0.41,0.0658,0.0463,63,0.549,0.17,50.1
RELIANCE,BPCL,Energy,60,Classical,Random,Carry,SkipCheck,0,16,0.52,0.0816,0.0698,54,0.51,0.077,47.9
RELIANCE,BPCL,Energy,60,Classical,Random,Carry,SkipCheck,1,16,0.34,0.044,0.0355,45,0.553,0.092,58.2
RELIANCE,BPCL,Energy,60,Classical,Random,EOD_Flat,RollingCheck,0,16,0.65,0.0755,0.0695,69,0.424,0.12,41.7
RELIANCE,BPCL,Energy,60,Classical,Random,EOD_Flat,RollingCheck,1,16,0.25,0.0676,0.063,59,0.589,0.101,54.1
RELIANCE,BPCL,Energy,60,Classical,Random,EOD_Flat,SkipCheck,0,16,0.72,0.0831,0.0781,43,0.546,0.067,50.7
RELIANCE,BPCL,Energy,60,Classical,Random,EOD_Flat,SkipCheck,1,16,0.32,0.0492,0.0424,65,0.531,0.137,50.4
RELIANCE,BPCL,Energy,60,Preferred,Ranked,Carry,RollingCheck,0,16,1.53,0.2738,0.2121,37,0.547,0.145,45.7
RELIANCE,BPCL,Energy,60,Preferred,Ranked,Carry,RollingCheck,1,16,1.06,0.1456,0.1443,59,0.584,0.121,45.1
RELIANCE,BPCL,Energy,60,Preferred,Ranked,Carry,SkipCheck,0,16,1.59,0.2745,0.1952,38,0.575,0.089,51.4
RELIANCE,BPCL,Energy,60,Preferred,Ranked,Carry,SkipCheck,1,16,1.02,0.174,0.1383,81,0.56,0.151,37.6
RELIANCE,BPCL,Energy,60,Preferred,Ranked,EOD_Flat,RollingCheck,0,16,1.43,0.2667,0.2053,70,0.552,0.157,41.6
RELIANCE,BPCL,Energy,60,Preferred,Ranked,EOD_Flat,RollingCheck,1,16,0.93,0.0655,0.0581,53,0.623,0.167,42.4
RELIANCE,BPCL,Energy,60,Preferred,Ranked,EOD_Flat,SkipCheck,0,16,1.41,0.2615,0.2109,44,0.497,0.062,39.0
RELIANCE,BPCL,Energy,60,Preferred,Ranked,EOD_Flat,SkipCheck,1,16,0.91,0.1785,0.1758,74,0.539,0.119,48.4
RELIANCE,BPCL,Energy,60,Preferred,Random,Carry,RollingCheck,0,16,1.04,0.2215,0.2209,77,0.631,0.073,45.4
RELIANCE,BPCL,Energy,60,Preferred,Random,Carry,RollingCheck,1,16,0.75,0.104,0.0786,50,0.609,0.163,42.1
RELIANCE,BPCL,Energy,60,Preferred,Random,Carry,SkipCheck,0,16,1.12,0.2541,0.2401,49,0.515,0.191,49.7
RELIANCE,BPCL,Energy,60,Preferred,Random,Carry,SkipCheck,1,16,0.76,0.1449,0.1396,50,0.531,0.129,46.7
RELIANCE,BPCL,Energy,60,Preferred,Random,EOD_Flat,RollingCheck,0,16,1.17,0.2503,0.1817,33,0.487,0.147,40.2
RELIANCE,BPCL,Energy,60,Preferred,Random,EOD_Flat,RollingCheck,1,16,0.69,0.1098,0.0841,52,0.561,0.12,50.9
RELIANCE,BPCL,Energy,60,Preferred,Random,EOD_Flat,SkipCheck,0,16,1.4,0.2041,0.1933,79,0.493,0.071,47.3
RELIANCE,BPCL,Energy,60,Preferred,Random,EOD_Flat,SkipCheck,1,16,0.83,0.1372,0.1231,72,0.575,0.152,50.8
HDFCBANK,ICICIBANK,Financials,5,Classical,Ranked,Carry,RollingCheck,0,16,1.09,0.1895,0.1416,174,0.458,0.099,22.5
HDFCBANK,ICICIBANK,Financials,5,Classical,Ranked,Carry,RollingCheck,1,16,0.71,0.122,0.104,182,0.502,0.079,23.7
HDFCBANK,ICICIBANK,Financials,5,Classical,Ranked,Carry,SkipCheck,0,16,1.06,0.2649,0.2474,183,0.48,0.136,20.2
HDFCBANK,ICICIBANK,Financials,5,Classical,Ranked,Carry,SkipCheck,1,16,0.82,0.0848,0.083,173,0.51,0.152,14.9
HDFCBANK,ICICIBANK,Financials,5,Classical,Ranked,EOD_Flat,RollingCheck,0,16,0.91,0.129,0.1037,172,0.506,0.131,17.4
HDFCBANK,ICICIBANK,Financials,5,Classical,Ranked,EOD_Flat,RollingCheck,1,16,0.62,0.0369,0.0344,171,0.594,0.077,9.0
HDFCBANK,ICICIBANK,Financials,5,Classical,Ranked,EOD_Flat,SkipCheck,0,16,0.99,0.1649,0.1498,196,0.566,0.113,14.3
HDFCBANK,ICICIBANK,Financials,5,Classical,Ranked,EOD_Flat,SkipCheck,1,16,0.65,0.135,0.1204,157,0.465,0.119,21.2
HDFCBANK,ICICIBANK,Financials,5,Classical,Random,Carry,RollingCheck,0,16,0.63,0.1306,0.0997,181,0.489,0.149,18.3
HDFCBANK,ICICIBANK,Financials,5,Classical,Random,Carry,RollingCheck,1,16,0.51,0.0791,0.0598,185,0.523,0.137,22.2
HDFCBANK,ICICIBANK,Financials,5,Classical,Random,Carry,SkipCheck,0,16,0.76,0.1899,0.1404,198,0.525,0.089,19.8
HDFCBANK,ICICIBANK,Financials,5,Classical,Random,Carry,SkipCheck,1,16,0.53,0.0753,0.0624,179,0.428,0.124,16.6
HDFCBANK,ICICIBANK,Financials,5,Classical,Random,EOD_Flat,RollingCheck,0,16,0.68,0.0804,0.0638,175,0.499,0.115,16.6
HDFCBANK,ICICIBANK,Financials,5,Classical,Random,EOD_Flat,RollingCheck,1,16,0.67,0.0531,0.0418,191,0.521,0.091,19.8
HDFCBANK,ICICIBANK,Financials,5,Classical,Random,EOD_Flat,SkipCheck,0,16,0.65,0.0952,0.0843,187,0.589,0.094,20.2
HDFCBANK,ICICIBANK,Financials,5,Classical,Random,EOD_Flat,SkipCheck,1,16,0.43,0.0834,0.0604,164,0.486,0.174,23.2
HDFCBANK,ICICIBANK,Financials,5,Preferred,Ranked,Carry,RollingCheck,0,16,1.39,0.3072,0.2305,184,0.51,0.174,21.8
HDFCBANK,ICICIBANK,Financials,5,Preferred,Ranked,Carry,RollingCheck,1,16,1.05,0.2024,0.1904,195,0.523,0.16,21.0
HDFCBANK,ICICIBANK,Financials,5,Preferred,Ranked,Carry,SkipCheck,0,16,1.71,0.2993,0.2568,174,0.56,0.089,17.4
HDFCBANK,ICICIBANK,Financials,5,Preferred,Ranked,Carry,SkipCheck,1,16,1.11,0.2339,0.1987,205,0.572,0.121,20.6
HDFCBANK,ICICIBANK,Financials,5,Preferred,Ranked,EOD_Flat,RollingCheck,0,16,1.46,0.2393,0.1727,196,0.544,0.148,24.4
HDFCBANK,ICICIBANK,Financials,5,Preferred,Ranked,EOD_Flat,RollingCheck,1,16,0.79,0.143,0.116,183,0.602,0.171,17.7
HDFCBANK,ICICIBANK,Financials,5,Preferred,Ranked,EOD_Flat,SkipCheck,0,16,1.56,0.2988,0.2899,155,0.521,0.144,20.9
HDFCBANK,ICICIBANK,Financials,5,Preferred,Ranked,EOD_Flat,SkipCheck,1,16,1.07,0.1504,0.1338,170,0.57,0.135,21.3
HDFCBANK,ICICIBANK,Financials,5,Preferred,Random,Carry,RollingCheck,0,16,1.09,0.2199,0.218,184,0.535,0.07,19.7
HDFCBANK,ICICIBANK,Financials,5,Preferred,Random,Carry,RollingCheck,1,16,0.79,0.1839,0.1571,197,0.463,0.109,14.4
HDFCBANK,ICICIBANK,Financials,5,Preferred,Random,Carry,SkipCheck,0,16,1.07,0.3048,0.2841,156,0.536,0.057,21.3
HDFCBANK,ICICIBANK,Financials,5,Preferred,Random,Carry,SkipCheck,1,16,0.81,0.207,0.1604,202,0.593,0.11,18.3
HDFCBANK,ICICIBANK,Financials,5,Preferred,Random,EOD_Flat,RollingCheck,0,16,1.07,0.2823,0.2691,185,0.615,0.111,21.9
HDFCBANK,ICICIBANK,Financials,5,Preferred,Random,EOD_Flat,RollingCheck,1,16,0.74,0.1235,0.0885,190,0.553,0.142,19.6
HDFCBANK,ICICIBANK,Financials,5,Preferred,Random,EOD_Flat,SkipCheck,0,16,1.16,0.1901,0.1354,182,0.573,0.116,25.4
HDFCBANK,ICICIBANK,Financials,5,Preferred,Random,EOD_Flat,SkipCheck,1,16,0.59,0.2461,0.2215,196,0.498,0.138,14.7
HDFCBANK,ICICIBANK,Financials,15,Classical,Ranked,Carry,RollingCheck,0,16,0.89,0.2074,0.1992,68,0.454,0.119,30.0
HDFCBANK,ICICIBANK,Financials,15,Classical,Ranked,Carry,RollingCheck,1,16,0.76,0.0992,0.0864,76,0.559,0.139,14.3
HDFCBANK,ICICIBANK,Financials,15,Classical,Ranked,Carry,SkipCheck,0,16,1.16,0.1456,0.1066,75,0.487,0.13,27.2
HDFCBANK,ICICIBANK,Financials,15,Classical,Ranked,Carry,SkipCheck,1,16,0.76,0.1187,0.0975,77,0.439,0.138,23.5
HDFCBANK,ICICIBANK,Financials,15,Classical,Ranked,EOD_Flat,RollingCheck,0,16,0.87,0.1713,0.1619,61,0.449,0.082,11.8
HDFCBANK,ICICIBANK,Financials,15,Classical,Ranked,EOD_Flat,RollingCheck,1,16,0.54,0.1246,0.104,50,0.434,0.169,25.0
HDFCBANK,ICICIBANK,Financials,15,Classical,Ranked,EOD_Flat,SkipCheck,0,16,0.88,0.2276,0.1852,60,0.556,0.106,19.9
HDFCBANK,ICICIBANK,Financials,15,Classical,Ranked,EOD_Flat,SkipCheck,1,16,0.55,0.05,0.041,75,0.622,0.162,22.8
HDFCBANK,ICICIBANK,Financials,15,Classical,Random,Carry,RollingCheck,0,16,0.71,0.1256,0.1239,56,0.52,0.114,22.8
HDFCBANK,ICICIBANK,Financials,15,Classical,Random,Carry,RollingCheck,1,16,0.45,0.0315,0.0245,45,0.445,0.125,27.0
HDFCBANK,ICICIBANK,Financials,15,Classical,Random,Carry,SkipCheck,0,16,0.79,0.0829,0.0758,50,0.421,0.116,19.2
HDFCBANK,ICICIBANK,Financials,15,Classical,Random,Carry,SkipCheck,1,16,0.39,0.0945,0.0811,50,0.516,0.072,22.2
HDFCBANK,ICICIBANK,Financials,15,Classical,Random,EOD_Flat,RollingCheck,0,16,0.6,0.0966,0.091,51,0.503,0.134,20.7
HDFCBANK,ICICIBANK,Financials,15,Classical,Random,EOD_Flat,RollingCheck,1,16,0.54,0.0595,0.0575,49,0.467,0.078,28.7
HDFCBANK,ICICIBANK,Financials,15,Classical,Random,EOD_Flat,SkipCheck,0,16,0.53,0.0892,0.0833,72,0.472,0.175,15.9
HDFCBANK,ICICIBANK,Financials,15,Classical,Random,EOD_Flat,SkipCheck,1,16,0.48,0.0425,0.0355,42,0.515,0.139,22.1
HDFCBANK,ICICIBANK,Financials,15,Preferred,Ranked,Carry,RollingCheck,0,16,1.43,0.2661,0.1882,78,0.631,0.074,21.3
HDFCBANK,ICICIBANK,Financials,15,Preferred,Ranked,Carry,RollingCheck,1,16,1.16,0.1114,0.0946,47,0.632,0.17,17.2
HDFCBANK,ICICIBANK,Financials,15,Preferred,Ranked,Carry,SkipCheck,0,16,1.56,0.3489,0.2729,43,0.514,0.102,19.0
HDFCBANK,ICICIBANK,Financials,15,Preferred,Ranked,Carry,SkipCheck,1,16,0.97,0.181,0.1702,63,0.472,0.13,24.2
HDFCBANK,ICICIBANK,Financials,15,Preferred,Ranked,EOD_Flat,RollingCheck,0,16,1.2,0.2612,0.209,70,0.647,0.112,28.6
HDFCBANK,ICICIBANK,Financials,15,Preferred,Ranked,EOD_Flat,RollingCheck,1,16,0.99,0.1296,0.1279,68,0.504,0.125,12.9
HDFCBANK,ICICIBANK,Financials,15,Preferred,Ranked,EOD_Flat,SkipCheck,0,16,1.44,0.2529,0.2344,79,0.489,0.104,13.0
HDFCBANK,ICICIBANK,Financials,15,Preferred,Ranked,EOD_Flat,SkipCheck,1,16,1.02,0.1914,0.1823,94,0.57,0.126,18.5
HDFCBANK,ICICIBANK,Financials,15,Preferred,Random,Carry,RollingCheck,0,16,1.16,0.2154,0.2013,43,0.506,0.099,18.8
HDFCBANK,ICICIBANK,Financials,15,Preferred,Random,Carry,RollingCheck,1,16,0.81,0.1532,0.1213,43,0.442,0.132,32.5
HDFCBANK,ICICIBANK,Financials,15,Preferred,Random,Carry,SkipCheck,0,16,1.2,0.2752,0.2745,54,0.573,0.107,25.8
HDFCBANK,ICICIBANK,Financials,15,Preferred,Random,Carry,SkipCheck,1,16,0.9,0.168,0.1329,57,0.512,0.136,15.5
HDFCBANK,ICICIBANK,Financials,15,Preferred,Random,EOD_Flat,RollingCheck,0,16,1.1,0.1997,0.1782,56,0.56,0.194,18.5
HDFCBANK,ICICIBANK,Financials,15,Preferred,Random,EOD_Flat,RollingCheck,1,16,0.7,0.1359,0.1156,44,0.535,0.102,19.1
